 1,ScreenShot-2026-04-26_14-43-44-694.jpg,1101,460,1189,533,unknown,
 2,ScreenShot-2026-04-26_14-43-44-694.jpg,949,272,1041,347,unknown,
 3,ScreenShot-2026-04-26_14-43-44-694.jpg,1393,377,1488,453,unknown,
 4,ScreenShot-2026-04-26_14-43-44-694.jpg,1225,1266,1329,1355,unknown,
 5,ScreenShot-2026-04-26_14-43-55-23D.jpg,927,535,1018,609,unknown,
 6,ScreenShot-2026-04-26_14-43-55-23D.jpg,578,815,665,909,unknown,
 7,ScreenShot-2026-04-26_14-43-55-23D.jpg,1806,188,1897,269,unknown,
 8,ScreenShot-2026-04-26_14-44-06-BBB.jpg,1817,597,1919,676,unknown,
 9,ScreenShot-2026-04-26_14-44-06-BBB.jpg,833,724,919,799,unknown,
10,ScreenShot-2026-04-26_14-44-06-BBB.jpg,879,726,962,802,unknown,
11,ScreenShot-2026-04-26_14-44-06-BBB.jpg,833,743,920,819,unknown,
12,ScreenShot-2026-04-26_14-44-31-E69.jpg,577,763,670,840,unknown,
13,ScreenShot-2026-04-26_14-44-39-BB6.jpg,1193,716,1276,793,unknown,
14,ScreenShot-2026-04-26_14-44-39-BB6.jpg,1996,620,2084,699,unknown,
15,ScreenShot-2026-04-26_14-45-00-D25.jpg,922,837,1007,914,unknown,
16,ScreenShot-2026-04-26_14-45-26-34D.jpg,860,806,944,883,unknown,
17,ScreenShot-2026-04-26_14-45-26-34D.jpg,786,809,867,884,unknown,
18,ScreenShot-2026-04-26_14-45-26-34D.jpg,724,749,814,829,unknown,
19,ScreenShot-2026-04-26_14-45-54-0A3.jpg,1210,864,1297,937,mineral,IRON(ORE)
20,ScreenShot-2026-04-26_14-45-54-0A3.jpg,1244,869,1333,940,mineral,IRON(ORE)
21,ScreenShot-2026-04-26_14-45-54-0A3.jpg,1187,877,1263,953,mineral,IRON(ORE)
22,ScreenShot-2026-04-26_14-45-54-0A3.jpg,1222,874,1294,959,mineral,IRON(ORE)
23,ScreenShot-2026-04-26_14-45-54-0A3.jpg,1599,840,1689,922,unknown,
